Step,Position,Velocity,Action_Vel_Cmd,Action_Lick_Cmd,Critic_Value,Policy_StdDev,Reward
347,52.844,20.0,20.0,1.0,0.3448,0.0,-0.055
348,32.844,-20.0,-20.0,-0.982,0.8295,0.0,-0.005
349,52.844,20.0,20.0,1.0,0.4636,0.0,-0.055
350,58.107,5.263,5.263,-1.0,0.3403,0.0,-0.005
351,38.107,-20.0,-20.0,-1.0,0.5369,0.0,-0.005
352,58.107,20.0,20.0,1.0,0.1855,0.0,-0.055
353,78.107,20.0,20.0,-0.287,-0.0655,0.0,-0.005
354,98.107,20.0,20.0,-1.0,-0.1666,0.0,-0.005
355,118.107,20.0,20.0,0.613,-0.0238,0.0,-0.055
356,98.107,-20.0,-20.0,1.0,3.2442,0.0,-0.055
357,118.107,20.0,20.0,1.0,2.2784,0.0,-0.055
358,114.363,-3.744,-3.744,0.621,2.3345,0.0,-0.055
359,120.0,20.0,20.0,1.0,2.0883,0.0,-0.055
360,120.0,20.0,20.0,1.0,2.0749,0.0,-0.055
361,120.0,20.0,20.0,1.0,2.0806,0.0,-0.055
362,105.241,-14.759,-14.759,-1.0,2.8106,0.0,-0.005
363,85.241,-20.0,-20.0,-1.0,4.4721,0.0,-0.005
364,105.241,20.0,20.0,-1.0,2.8813,0.0,-0.005
365,120.0,20.0,20.0,1.0,2.389,0.0,-0.055
366,100.0,-20.0,-20.0,0.501,3.4755,0.0,-0.055
367,80.0,-20.0,-20.0,1.0,4.4462,0.0,-0.055
368,100.0,20.0,20.0,1.0,2.9293,0.0,-0.055
369,80.0,-20.0,-20.0,1.0,4.9074,0.0,-0.055
370,60.0,-20.0,-20.0,1.0,6.1124,0.0,-0.055
371,80.0,20.0,20.0,1.0,4.4648,0.0,-0.055
372,60.324,-19.676,-19.676,1.0,5.9678,0.0,-0.055
373,80.324,20.0,20.0,-1.0,3.7054,0.0,-0.005
374,88.053,7.729,7.729,-1.0,3.1047,0.0,-0.005
